SourceFile,Emissivity,SubjectDistance,AtmosphericTemperature,ReflectedApparentTemperature,IRWindowTemperature,IRWindowTransmission,RelativeHumidity,PlanckR1,PlanckB,PlanckF,PlanckO,PlanckR2,Real2IR,OffsetX,OffsetY,PiPX1,PiPX2,PiPY1,PiPY2,EmbeddedImageWidth,EmbeddedImageHeight,t_numpy_file,rgb_numpy_file
raw_data_source/RGBT_jpg/FLIR1074.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1074.npy,raw_data_source/RGB_npy/FLIR1074.npy
raw_data_source/RGBT_jpg/FLIR1076.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1076.npy,raw_data_source/RGB_npy/FLIR1076.npy
raw_data_source/RGBT_jpg/FLIR1078.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1078.npy,raw_data_source/RGB_npy/FLIR1078.npy
raw_data_source/RGBT_jpg/FLIR1080.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1080.npy,raw_data_source/RGB_npy/FLIR1080.npy
raw_data_source/RGBT_jpg/FLIR1082.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1082.npy,raw_data_source/RGB_npy/FLIR1082.npy
raw_data_source/RGBT_jpg/FLIR1084.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1084.npy,raw_data_source/RGB_npy/FLIR1084.npy
raw_data_source/RGBT_jpg/FLIR1086.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1086.npy,raw_data_source/RGB_npy/FLIR1086.npy
raw_data_source/RGBT_jpg/FLIR1088.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1088.npy,raw_data_source/RGB_npy/FLIR1088.npy
raw_data_source/RGBT_jpg/FLIR1090.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1090.npy,raw_data_source/RGB_npy/FLIR1090.npy
raw_data_source/RGBT_jpg/FLIR1092.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1092.npy,raw_data_source/RGB_npy/FLIR1092.npy
raw_data_source/RGBT_jpg/FLIR1094.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1094.npy,raw_data_source/RGB_npy/FLIR1094.npy
raw_data_source/RGBT_jpg/FLIR1096.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1096.npy,raw_data_source/RGB_npy/FLIR1096.npy
raw_data_source/RGBT_jpg/FLIR1098.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1098.npy,raw_data_source/RGB_npy/FLIR1098.npy
raw_data_source/RGBT_jpg/FLIR1100.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1100.npy,raw_data_source/RGB_npy/FLIR1100.npy
raw_data_source/RGBT_jpg/FLIR1102.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1102.npy,raw_data_source/RGB_npy/FLIR1102.npy
raw_data_source/RGBT_jpg/FLIR1104.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1104.npy,raw_data_source/RGB_npy/FLIR1104.npy
raw_data_source/RGBT_jpg/FLIR1106.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1106.npy,raw_data_source/RGB_npy/FLIR1106.npy
raw_data_source/RGBT_jpg/FLIR1108.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1108.npy,raw_data_source/RGB_npy/FLIR1108.npy
raw_data_source/RGBT_jpg/FLIR1110.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1110.npy,raw_data_source/RGB_npy/FLIR1110.npy
raw_data_source/RGBT_jpg/FLIR1112.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1112.npy,raw_data_source/RGB_npy/FLIR1112.npy
raw_data_source/RGBT_jpg/FLIR1114.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1114.npy,raw_data_source/RGB_npy/FLIR1114.npy
raw_data_source/RGBT_jpg/FLIR1116.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1116.npy,raw_data_source/RGB_npy/FLIR1116.npy
raw_data_source/RGBT_jpg/FLIR1118.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1118.npy,raw_data_source/RGB_npy/FLIR1118.npy
raw_data_source/RGBT_jpg/FLIR1120.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1120.npy,raw_data_source/RGB_npy/FLIR1120.npy
raw_data_source/RGBT_jpg/FLIR1122.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1122.npy,raw_data_source/RGB_npy/FLIR1122.npy
raw_data_source/RGBT_jpg/FLIR1124.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1124.npy,raw_data_source/RGB_npy/FLIR1124.npy
